Nome_do_modelo,Operacao,Resultado_do_modelo,Resposta_bruta,Resultado_original,Acerto_da_operacao,Acerto_do_formato_de_resposta,Conta,custo_total
gemini-2.5-pro,2 dígitos,7840.0,7840,7840,True,True,98x80 = ?,0.000515
gemini-2.5-flash,2 dígitos,7840.0,7840,7840,True,True,98x80 = ?,0.000126
gemini-2.5-pro,2 dígitos,874.0,874,874,True,True,23x38 = ?,0.000464
gemini-2.5-flash,2 dígitos,874.0,874,874,True,True,23x38 = ?,0.000113
gemini-2.5-pro,2 dígitos,6862.0,6862,6862,True,True,73x94 = ?,0.000515
gemini-2.5-flash,2 dígitos,6862.0,6862,6862,True,True,73x94 = ?,0.000126
gemini-2.5-pro,2 dígitos,2300.0,2300,2300,True,True,46x50 = ?,0.000515
gemini-2.5-flash,2 dígitos,2300.0,2300,2300,True,True,46x50 = ?,0.000126
gemini-2.5-pro,2 dígitos,7154.0,7154,7154,True,True,98x73 = ?,0.000515
gemini-2.5-flash,2 dígitos,7154.0,7154,7154,True,True,98x73 = ?,0.000126
gemini-2.5-pro,2 dígitos,5916.0,5916,5916,True,True,68x87 = ?,0.000515
gemini-2.5-flash,2 dígitos,5916.0,5916,5916,True,True,68x87 = ?,0.000126
gemini-2.5-pro,2 dígitos,1584.0,1584,1584,True,True,18x88 = ?,0.000515
gemini-2.5-flash,2 dígitos,1584.0,1584,1584,True,True,18x88 = ?,0.000126
gemini-2.5-pro,2 dígitos,1200.0,1200,1200,True,True,16x75 = ?,0.000515
gemini-2.5-flash,2 dígitos,1200.0,1200,1200,True,True,16x75 = ?,0.000126
gemini-2.5-pro,2 dígitos,4000.0,4000,4000,True,True,80x50 = ?,0.000515
gemini-2.5-flash,2 dígitos,4000.0,4000,4000,True,True,80x50 = ?,0.000126
gemini-2.5-pro,2 dígitos,7224.0,7224,7224,True,True,84x86 = ?,0.000515
gemini-2.5-flash,2 dígitos,7224.0,7224,7224,True,True,84x86 = ?,0.000126
gemini-2.5-pro,2 dígitos,3010.0,3010,3010,True,True,86x35 = ?,0.000515
gemini-2.5-flash,2 dígitos,3010.0,3010,3010,True,True,86x35 = ?,0.000126
gemini-2.5-pro,2 dígitos,391.0,391,391,True,True,17x23 = ?,0.000464
gemini-2.5-flash,2 dígitos,391.0,391,391,True,True,17x23 = ?,0.000113
gemini-2.5-pro,2 dígitos,594.0,594,594,True,True,54x11 = ?,0.000464
gemini-2.5-flash,2 dígitos,594.0,594,594,True,True,54x11 = ?,0.000113
gemini-2.5-pro,2 dígitos,4488.0,4488,4488,True,True,51x88 = ?,0.000515
gemini-2.5-flash,2 dígitos,4488.0,4488,4488,True,True,51x88 = ?,0.000126
gemini-2.5-pro,2 dígitos,6402.0,6402,6402,True,True,66x97 = ?,0.000515
gemini-2.5-flash,2 dígitos,6402.0,6402,6402,True,True,66x97 = ?,0.000126
gemini-2.5-pro,2 dígitos,949.0,949,949,True,True,73x13 = ?,0.000464
gemini-2.5-flash,2 dígitos,949.0,949,949,True,True,73x13 = ?,0.000113
gemini-2.5-pro,2 dígitos,2646.0,2646,2646,True,True,27x98 = ?,0.000515
gemini-2.5-flash,2 dígitos,2646.0,2646,2646,True,True,27x98 = ?,0.000126
gemini-2.5-pro,2 dígitos,7663.0,7663,7663,True,True,97x79 = ?,0.000515
gemini-2.5-flash,2 dígitos,7663.0,7663,7663,True,True,97x79 = ?,0.000126
gemini-2.5-pro,2 dígitos,720.0,720,720,True,True,60x12 = ?,0.000464
gemini-2.5-flash,2 dígitos,720.0,720,720,True,True,60x12 = ?,0.000113
gemini-2.5-pro,2 dígitos,1568.0,1568,1568,True,True,28x56 = ?,0.000515
gemini-2.5-flash,2 dígitos,1568.0,1568,1568,True,True,28x56 = ?,0.000126
gemini-2.5-pro,2 dígitos,3685.0,3685,3685,True,True,55x67 = ?,0.000515
gemini-2.5-flash,2 dígitos,3685.0,3685,3685,True,True,55x67 = ?,0.000126
gemini-2.5-pro,2 dígitos,1260.0,1260,1260,True,True,45x28 = ?,0.000515
gemini-2.5-flash,2 dígitos,1260.0,1260,1260,True,True,45x28 = ?,0.000126
gemini-2.5-pro,2 dígitos,3584.0,3584,3584,True,True,56x64 = ?,0.000515
gemini-2.5-flash,2 dígitos,3584.0,3584,3584,True,True,56x64 = ?,0.000126
gemini-2.5-pro,2 dígitos,7553.0,7553,7553,True,True,83x91 = ?,0.000515
gemini-2.5-flash,2 dígitos,7553.0,7553,7553,True,True,83x91 = ?,0.000126
gemini-2.5-pro,2 dígitos,5544.0,5544,5544,True,True,72x77 = ?,0.000515
gemini-2.5-flash,2 dígitos,5544.0,5544,5544,True,True,72x77 = ?,0.000126
gemini-2.5-pro,2 dígitos,756.0,756,756,True,True,21x36 = ?,0.000464
gemini-2.5-flash,2 dígitos,756.0,756,756,True,True,21x36 = ?,0.000113
gemini-2.5-pro,2 dígitos,1700.0,1700,1700,True,True,85x20 = ?,0.000515
gemini-2.5-flash,2 dígitos,1700.0,1700,1700,True,True,85x20 = ?,0.000126
gemini-2.5-pro,2 dígitos,715.0,715,715,True,True,13x55 = ?,0.000464
gemini-2.5-flash,2 dígitos,715.0,715,715,True,True,13x55 = ?,0.000113
gemini-2.5-pro,2 dígitos,4692.0,4692,4692,True,True,68x69 = ?,0.000515
gemini-2.5-flash,2 dígitos,4692.0,4692,4692,True,True,68x69 = ?,0.000126
gemini-2.5-pro,2 dígitos,1155.0,1155,1155,True,True,33x35 = ?,0.000515
gemini-2.5-flash,2 dígitos,1155.0,1155,1155,True,True,33x35 = ?,0.000126
gemini-2.5-pro,2 dígitos,2479.0,2479,2479,True,True,37x67 = ?,0.000515
gemini-2.5-flash,2 dígitos,2479.0,2479,2479,True,True,37x67 = ?,0.000126
gemini-2.5-pro,2 dígitos,1144.0,1144,1144,True,True,13x88 = ?,0.000515
gemini-2.5-flash,2 dígitos,1144.0,1144,1144,True,True,13x88 = ?,0.000126
gemini-2.5-pro,2 dígitos,6555.0,6555,6555,True,True,95x69 = ?,0.000515
gemini-2.5-flash,2 dígitos,6555.0,6555,6555,True,True,95x69 = ?,0.000126
gemini-2.5-pro,2 dígitos,3828.0,3828,3828,True,True,58x66 = ?,0.000515
gemini-2.5-flash,2 dígitos,3828.0,3828,3828,True,True,58x66 = ?,0.000126
gemini-2.5-pro,2 dígitos,9409.0,9409,9409,True,True,97x97 = ?,0.000515
gemini-2.5-flash,2 dígitos,9409.0,9409,9409,True,True,97x97 = ?,0.000126
gemini-2.5-pro,2 dígitos,1106.0,1106,1106,True,True,14x79 = ?,0.000515
gemini-2.5-flash,2 dígitos,1106.0,1106,1106,True,True,14x79 = ?,0.000126
gemini-2.5-pro,2 dígitos,4620.0,4620,4620,True,True,66x70 = ?,0.000515
gemini-2.5-flash,2 dígitos,4620.0,4620,4620,True,True,66x70 = ?,0.000126
gemini-2.5-pro,2 dígitos,1444.0,1444,1444,True,True,19x76 = ?,0.000515
gemini-2.5-flash,2 dígitos,1444.0,1444,1444,True,True,19x76 = ?,0.000126
gemini-2.5-pro,2 dígitos,3397.0,3397,3397,True,True,43x79 = ?,0.000515
gemini-2.5-flash,2 dígitos,3397.0,3397,3397,True,True,43x79 = ?,0.000126
gemini-2.5-pro,3 dígitos,362848.0,362848,362848,True,True,736x493 = ?,0.000631
gemini-2.5-flash,3 dígitos,362848.0,362848,362848,True,True,736x493 = ?,0.000155
gemini-2.5-pro,3 dígitos,107757.0,107757,107757,True,True,307x351 = ?,0.000631
gemini-2.5-flash,3 dígitos,107757.0,107757,107757,True,True,307x351 = ?,0.000155
gemini-2.5-pro,3 dígitos,270080.0,270080,270080,True,True,640x422 = ?,0.000631
gemini-2.5-flash,3 dígitos,270080.0,270080,270080,True,True,640x422 = ?,0.000155
gemini-2.5-pro,3 dígitos,92400.0,92400,92400,True,True,110x840 = ?,0.000579
gemini-2.5-flash,3 dígitos,92400.0,92400,92400,True,True,110x840 = ?,0.000142
gemini-2.5-pro,3 dígitos,758641.0,758641,758641,True,True,871x871 = ?,0.000631
gemini-2.5-flash,3 dígitos,758641.0,758641,758641,True,True,871x871 = ?,0.000155
gemini-2.5-pro,3 dígitos,740421.0,740421,740421,True,True,891x831 = ?,0.000631
gemini-2.5-flash,3 dígitos,740421.0,740421,740421,True,True,891x831 = ?,0.000155
gemini-2.5-pro,3 dígitos,310050.0,310050,310050,True,True,795x390 = ?,0.000631
gemini-2.5-flash,3 dígitos,310050.0,310050,310050,True,True,795x390 = ?,0.000155
gemini-2.5-pro,3 dígitos,159165.0,159165,159165,True,True,393x405 = ?,0.000631
gemini-2.5-flash,3 dígitos,159165.0,159165,159165,True,True,393x405 = ?,0.000155
gemini-2.5-pro,3 dígitos,910115.0,910115,910115,True,True,955x953 = ?,0.000631
gemini-2.5-flash,3 dígitos,910115.0,910115,910115,True,True,955x953 = ?,0.000155
gemini-2.5-pro,3 dígitos,383265.0,383265,383265,True,True,765x501 = ?,0.000631
gemini-2.5-flash,3 dígitos,383265.0,383265,383265,True,True,765x501 = ?,0.000155
gemini-2.5-pro,3 dígitos,84084.0,84084,84084,True,True,286x294 = ?,0.000579
gemini-2.5-flash,3 dígitos,84084.0,84084,84084,True,True,286x294 = ?,0.000142
gemini-2.5-pro,3 dígitos,44110.0,44110,44110,True,True,401x110 = ?,0.000579
gemini-2.5-flash,3 dígitos,44110.0,44110,44110,True,True,401x110 = ?,0.000142
gemini-2.5-pro,3 dígitos,202252.0,202252,202252,True,True,236x857 = ?,0.000631
gemini-2.5-flash,3 dígitos,202252.0,202252,202252,True,True,236x857 = ?,0.000155
gemini-2.5-pro,3 dígitos,173355.0,173355,173355,True,True,381x455 = ?,0.000631
gemini-2.5-flash,3 dígitos,173355.0,173355,173355,True,True,381x455 = ?,0.000155
gemini-2.5-pro,3 dígitos,493633.0,493633,493633,True,True,679x727 = ?,0.000631
gemini-2.5-flash,3 dígitos,493913.0,493913,493633,False,True,679x727 = ?,0.000155
gemini-2.5-pro,3 dígitos,260599.0,260599,260599,True,True,421x619 = ?,0.000631
gemini-2.5-flash,3 dígitos,260599.0,260599,260599,True,True,421x619 = ?,0.000155
gemini-2.5-pro,3 dígitos,535718.0,535718,535718,True,True,554x967 = ?,0.000631
gemini-2.5-flash,3 dígitos,535718.0,535718,535718,True,True,554x967 = ?,0.000155
gemini-2.5-pro,3 dígitos,253175.0,253175,253175,True,True,325x779 = ?,0.000631
gemini-2.5-flash,3 dígitos,253175.0,253175,253175,True,True,325x779 = ?,0.000155
gemini-2.5-pro,3 dígitos,167040.0,167040,167040,True,True,320x522 = ?,0.000631
gemini-2.5-flash,3 dígitos,167040.0,167040,167040,True,True,320x522 = ?,0.000155
gemini-2.5-pro,3 dígitos,63516.0,63516,63516,True,True,237x268 = ?,0.000579
gemini-2.5-flash,3 dígitos,63516.0,63516,63516,True,True,237x268 = ?,0.000142
gemini-2.5-pro,3 dígitos,249736.0,249736,249736,True,True,589x424 = ?,0.000631
gemini-2.5-flash,3 dígitos,249736.0,249736,249736,True,True,589x424 = ?,0.000155
gemini-2.5-pro,3 dígitos,190890.0,190890,190890,True,True,606x315 = ?,0.000631
gemini-2.5-flash,3 dígitos,190890.0,190890,190890,True,True,606x315 = ?,0.000155
gemini-2.5-pro,3 dígitos,426220.0,426220,426220,True,True,844x505 = ?,0.000631
gemini-2.5-flash,3 dígitos,426220.0,426220,426220,True,True,844x505 = ?,0.000155
gemini-2.5-pro,3 dígitos,643518.0,643518,643518,True,True,701x918 = ?,0.000631
gemini-2.5-flash,3 dígitos,643518.0,643518,643518,True,True,701x918 = ?,0.000155
gemini-2.5-pro,3 dígitos,101376.0,101376,101376,True,True,144x704 = ?,0.000631
gemini-2.5-flash,3 dígitos,101376.0,101376,101376,True,True,144x704 = ?,0.000155
gemini-2.5-pro,3 dígitos,191843.0,191843,191843,True,True,439x437 = ?,0.000631
gemini-2.5-flash,3 dígitos,191843.0,191843,191843,True,True,439x437 = ?,0.000155
gemini-2.5-pro,3 dígitos,100464.0,100464,100464,True,True,483x208 = ?,0.000631
gemini-2.5-flash,3 dígitos,100464.0,100464,100464,True,True,483x208 = ?,0.000155
gemini-2.5-pro,3 dígitos,654156.0,654156,654156,True,True,673x972 = ?,0.000631
gemini-2.5-flash,3 dígitos,654156.0,654156,654156,True,True,673x972 = ?,0.000155
gemini-2.5-pro,3 dígitos,298073.0,298073,298073,True,True,347x859 = ?,0.000631
gemini-2.5-flash,3 dígitos,298073.0,298073,298073,True,True,347x859 = ?,0.000155
gemini-2.5-pro,3 dígitos,72390.0,72390,72390,True,True,114x635 = ?,0.000579
gemini-2.5-flash,3 dígitos,72390.0,72390,72390,True,True,114x635 = ?,0.000142
gemini-2.5-pro,3 dígitos,677970.0,677970,677970,True,True,930x729 = ?,0.000631
gemini-2.5-flash,3 dígitos,677970.0,677970,677970,True,True,930x729 = ?,0.000155
gemini-2.5-pro,3 dígitos,589584.0,589584,589584,True,True,692x852 = ?,0.000631
gemini-2.5-flash,3 dígitos,589584.0,589584,589584,True,True,692x852 = ?,0.000155
gemini-2.5-pro,3 dígitos,85176.0,85176,85176,True,True,338x252 = ?,0.000579
gemini-2.5-flash,3 dígitos,85176.0,85176,85176,True,True,338x252 = ?,0.000142
gemini-2.5-pro,3 dígitos,54918.0,54918,54918,True,True,226x243 = ?,0.000579
gemini-2.5-flash,3 dígitos,54918.0,54918,54918,True,True,226x243 = ?,0.000142
gemini-2.5-pro,3 dígitos,416796.0,416796,416796,True,True,564x739 = ?,0.000631
gemini-2.5-flash,3 dígitos,416796.0,416796,416796,True,True,564x739 = ?,0.000155
gemini-2.5-pro,3 dígitos,413424.0,413424,413424,True,True,594x696 = ?,0.000631
gemini-2.5-flash,3 dígitos,413424.0,413424,413424,True,True,594x696 = ?,0.000155
gemini-2.5-pro,3 dígitos,720797.0,720797,720797,True,True,847x851 = ?,0.000631
gemini-2.5-flash,3 dígitos,720797.0,720797,720797,True,True,847x851 = ?,0.000155
gemini-2.5-pro,3 dígitos,313230.0,313230,313230,True,True,318x985 = ?,0.000631
gemini-2.5-flash,3 dígitos,313230.0,313230,313230,True,True,318x985 = ?,0.000155
gemini-2.5-pro,3 dígitos,153384.0,153384,153384,True,True,616x249 = ?,0.000631
gemini-2.5-flash,3 dígitos,153384.0,153384,153384,True,True,616x249 = ?,0.000155
gemini-2.5-pro,3 dígitos,336812.0,336812,336812,True,True,644x523 = ?,0.000631
gemini-2.5-flash,3 dígitos,336932.0,336932,336812,False,True,644x523 = ?,0.000155
gemini-2.5-pro,3 dígitos,468510.0,468510,468510,True,True,485x966 = ?,0.000631
gemini-2.5-flash,3 dígitos,468310.0,468310,468510,False,True,485x966 = ?,0.000155
gemini-2.5-pro,3 dígitos,116596.0,116596,116596,True,True,206x566 = ?,0.000631
gemini-2.5-flash,3 dígitos,116596.0,116596,116596,True,True,206x566 = ?,0.000155
gemini-2.5-pro,3 dígitos,684970.0,684970,684970,True,True,715x958 = ?,0.000631
gemini-2.5-flash,3 dígitos,684970.0,684970,684970,True,True,715x958 = ?,0.000155
gemini-2.5-pro,3 dígitos,238221.0,238221,238221,True,True,459x519 = ?,0.000631
gemini-2.5-flash,3 dígitos,238221.0,238221,238221,True,True,459x519 = ?,0.000155
gemini-2.5-pro,3 dígitos,582230.0,582230,582230,True,True,670x869 = ?,0.000631
gemini-2.5-flash,3 dígitos,582230.0,582230,582230,True,True,670x869 = ?,0.000155
gemini-2.5-pro,3 dígitos,315168.0,315168,315168,True,True,588x536 = ?,0.000631
gemini-2.5-flash,3 dígitos,315288.0,315288,315168,False,True,588x536 = ?,0.000155
gemini-2.5-pro,3 dígitos,242970.0,242970,242970,True,True,273x890 = ?,0.000631
gemini-2.5-flash,3 dígitos,242970.0,242970,242970,True,True,273x890 = ?,0.000155
gemini-2.5-pro,3 dígitos,93330.0,93330,93330,True,True,610x153 = ?,0.000579
gemini-2.5-flash,3 dígitos,93330.0,93330,93330,True,True,610x153 = ?,0.000142
gemini-2.5-pro,3 dígitos,255850.0,255850,255850,True,True,430x595 = ?,0.000631
gemini-2.5-flash,3 dígitos,255350.0,255350,255850,False,True,430x595 = ?,0.000155
gemini-2.5-pro,3 dígitos,899388.0,899388,899388,True,True,996x903 = ?,0.000631
gemini-2.5-flash,3 dígitos,899388.0,899388,899388,True,True,996x903 = ?,0.000155
gemini-2.5-pro,3 dígitos,179523.0,179523,179523,True,True,981x183 = ?,0.000631
gemini-2.5-flash,3 dígitos,179523.0,179523,179523,True,True,981x183 = ?,0.000155
gemini-2.5-pro,3 dígitos,307350.0,307350,307350,True,True,450x683 = ?,0.000631
