num_a,num_b,conta,resultado da operacao,quantidade de digitos
735,597,735+597 = ?,1332,3 dígitos
235,881,235+881 = ?,1116,3 dígitos
528,863,528+863 = ?,1391,3 dígitos
357,859,357+859 = ?,1216,3 dígitos
781,306,781+306 = ?,1087,3 dígitos
540,571,540+571 = ?,1111,3 dígitos
675,581,675+581 = ?,1256,3 dígitos
615,117,615+117 = ?,732,3 dígitos
188,850,188+850 = ?,1038,3 dígitos
315,297,315+297 = ?,612,3 dígitos
709,662,709+662 = ?,1371,3 dígitos
457,230,457+230 = ?,687,3 dígitos
758,914,758+914 = ?,1672,3 dígitos
657,630,657+630 = ?,1287,3 dígitos
575,786,575+786 = ?,1361,3 dígitos
603,173,603+173 = ?,776,3 dígitos
674,807,674+807 = ?,1481,3 dígitos
751,510,751+510 = ?,1261,3 dígitos
192,559,192+559 = ?,751,3 dígitos
999,657,999+657 = ?,1656,3 dígitos
734,542,734+542 = ?,1276,3 dígitos
287,507,287+507 = ?,794,3 dígitos
381,895,381+895 = ?,1276,3 dígitos
541,722,541+722 = ?,1263,3 dígitos
607,359,607+359 = ?,966,3 dígitos
6731,6461,6731+6461 = ?,13192,4 dígitos
4574,1612,4574+1612 = ?,6186,4 dígitos
8044,5421,8044+5421 = ?,13465,4 dígitos
8280,6189,8280+6189 = ?,14469,4 dígitos
6660,2795,6660+2795 = ?,9455,4 dígitos
1731,4365,1731+4365 = ?,6096,4 dígitos
5951,6306,5951+6306 = ?,12257,4 dígitos
1194,6421,1194+6421 = ?,7615,4 dígitos
4082,1757,4082+1757 = ?,5839,4 dígitos
6088,2305,6088+2305 = ?,8393,4 dígitos
5451,6747,5451+6747 = ?,12198,4 dígitos
4393,1454,4393+1454 = ?,5847,4 dígitos
2891,4026,2891+4026 = ?,6917,4 dígitos
7364,7566,7364+7566 = ?,14930,4 dígitos
7359,9936,7359+9936 = ?,17295,4 dígitos
7962,7052,7962+7052 = ?,15014,4 dígitos
1604,7115,1604+7115 = ?,8719,4 dígitos
7483,7481,7483+7481 = ?,14964,4 dígitos
2132,3621,2132+3621 = ?,5753,4 dígitos
5343,9142,5343+9142 = ?,14485,4 dígitos
3878,1924,3878+1924 = ?,5802,4 dígitos
7773,7382,7773+7382 = ?,15155,4 dígitos
3191,9113,3191+9113 = ?,12304,4 dígitos
3512,1639,3512+1639 = ?,5151,4 dígitos
4054,2771,4054+2771 = ?,6825,4 dígitos
7895,6338,7895+6338 = ?,14233,4 dígitos
1544,2639,1544+2639 = ?,4183,4 dígitos
8587,2594,8587+2594 = ?,11181,4 dígitos
9102,6009,9102+6009 = ?,15111,4 dígitos
8341,3838,8341+3838 = ?,12179,4 dígitos
9522,3543,9522+3543 = ?,13065,4 dígitos
4875,1881,4875+1881 = ?,6756,4 dígitos
8207,4573,8207+4573 = ?,12780,4 dígitos
6971,5982,6971+5982 = ?,12953,4 dígitos
4101,8187,4101+8187 = ?,12288,4 dígitos
9485,9325,9485+9325 = ?,18810,4 dígitos
8249,9801,8249+9801 = ?,18050,4 dígitos
7621,5550,7621+5550 = ?,13171,4 dígitos
3490,6533,3490+6533 = ?,10023,4 dígitos
4358,7583,4358+7583 = ?,11941,4 dígitos
9656,4084,9656+4084 = ?,13740,4 dígitos
6722,8568,6722+8568 = ?,15290,4 dígitos
4622,2543,4622+2543 = ?,7165,4 dígitos
7309,9206,7309+9206 = ?,16515,4 dígitos
8087,6182,8087+6182 = ?,14269,4 dígitos
8229,9553,8229+9553 = ?,17782,4 dígitos
4078,4940,4078+4940 = ?,9018,4 dígitos
3289,7086,3289+7086 = ?,10375,4 dígitos
4937,8427,4937+8427 = ?,13364,4 dígitos
2128,2662,2128+2662 = ?,4790,4 dígitos
82013,78190,82013+78190 = ?,160203,5 dígitos
20405,66945,20405+66945 = ?,87350,5 dígitos
88675,73458,88675+73458 = ?,162133,5 dígitos
23838,30994,23838+30994 = ?,54832,5 dígitos
23147,88190,23147+88190 = ?,111337,5 dígitos
14050,45767,14050+45767 = ?,59817,5 dígitos
12425,72683,12425+72683 = ?,85108,5 dígitos
60907,28543,60907+28543 = ?,89450,5 dígitos
78283,33327,78283+33327 = ?,111610,5 dígitos
30550,69104,30550+69104 = ?,99654,5 dígitos
33117,62413,33117+62413 = ?,95530,5 dígitos
14344,54353,14344+54353 = ?,68697,5 dígitos
42784,64746,42784+64746 = ?,107530,5 dígitos
61493,58531,61493+58531 = ?,120024,5 dígitos
62991,14976,62991+14976 = ?,77967,5 dígitos
75727,17908,75727+17908 = ?,93635,5 dígitos
21128,21668,21128+21668 = ?,42796,5 dígitos
50222,59265,50222+59265 = ?,109487,5 dígitos
77982,99344,77982+99344 = ?,177326,5 dígitos
57900,12625,57900+12625 = ?,70525,5 dígitos
48165,14028,48165+14028 = ?,62193,5 dígitos
48907,63788,48907+63788 = ?,112695,5 dígitos
41752,96824,41752+96824 = ?,138576,5 dígitos
13092,32966,13092+32966 = ?,46058,5 dígitos
48648,31087,48648+31087 = ?,79735,5 dígitos
55023,17790,55023+17790 = ?,72813,5 dígitos
86523,18473,86523+18473 = ?,104996,5 dígitos
10687,40845,10687+40845 = ?,51532,5 dígitos
41436,85650,41436+85650 = ?,127086,5 dígitos
50159,65840,50159+65840 = ?,115999,5 dígitos
85616,68601,85616+68601 = ?,154217,5 dígitos
93020,26170,93020+26170 = ?,119190,5 dígitos
16085,75027,16085+75027 = ?,91112,5 dígitos
45685,12751,45685+12751 = ?,58436,5 dígitos
19413,74946,19413+74946 = ?,94359,5 dígitos
19666,29162,19666+29162 = ?,48828,5 dígitos
68259,39341,68259+39341 = ?,107600,5 dígitos
78809,91075,78809+91075 = ?,169884,5 dígitos
76862,99474,76862+99474 = ?,176336,5 dígitos
26115,29505,26115+29505 = ?,55620,5 dígitos
91416,81152,91416+81152 = ?,172568,5 dígitos
16546,69811,16546+69811 = ?,86357,5 dígitos
27306,39417,27306+39417 = ?,66723,5 dígitos
20587,95226,20587+95226 = ?,115813,5 dígitos
97666,70487,97666+70487 = ?,168153,5 dígitos
63353,80127,63353+80127 = ?,143480,5 dígitos
89431,79201,89431+79201 = ?,168632,5 dígitos
63908,23805,63908+23805 = ?,87713,5 dígitos
74140,18986,74140+18986 = ?,93126,5 dígitos
25933,84023,25933+84023 = ?,109956,5 dígitos
993647,620487,993647+620487 = ?,1614134,6 dígitos
186280,492602,186280+492602 = ?,678882,6 dígitos
839326,143728,839326+143728 = ?,983054,6 dígitos
265122,643543,265122+643543 = ?,908665,6 dígitos
280404,414115,280404+414115 = ?,694519,6 dígitos
971719,590675,971719+590675 = ?,1562394,6 dígitos
701911,856544,701911+856544 = ?,1558455,6 dígitos
416621,997223,416621+997223 = ?,1413844,6 dígitos
419302,630461,419302+630461 = ?,1049763,6 dígitos
454328,483014,454328+483014 = ?,937342,6 dígitos
779631,274410,779631+274410 = ?,1054041,6 dígitos
295736,452288,295736+452288 = ?,748024,6 dígitos
144990,722389,144990+722389 = ?,867379,6 dígitos
239698,706164,239698+706164 = ?,945862,6 dígitos
364627,844137,364627+844137 = ?,1208764,6 dígitos
582231,560401,582231+560401 = ?,1142632,6 dígitos
750824,897696,750824+897696 = ?,1648520,6 dígitos
497537,506558,497537+506558 = ?,1004095,6 dígitos
857524,963255,857524+963255 = ?,1820779,6 dígitos
151730,192271,151730+192271 = ?,344001,6 dígitos
780379,448795,780379+448795 = ?,1229174,6 dígitos
746612,809528,746612+809528 = ?,1556140,6 dígitos
238771,823097,238771+823097 = ?,1061868,6 dígitos
558878,323750,558878+323750 = ?,882628,6 dígitos
623714,806535,623714+806535 = ?,1430249,6 dígitos
470999,600719,470999+600719 = ?,1071718,6 dígitos
123623,789652,123623+789652 = ?,913275,6 dígitos
337661,359594,337661+359594 = ?,697255,6 dígitos
685159,778136,685159+778136 = ?,1463295,6 dígitos
455812,940080,455812+940080 = ?,1395892,6 dígitos
637159,941902,637159+941902 = ?,1579061,6 dígitos
390731,264031,390731+264031 = ?,654762,6 dígitos
780349,746698,780349+746698 = ?,1527047,6 dígitos
453514,601263,453514+601263 = ?,1054777,6 dígitos
909078,873379,909078+873379 = ?,1782457,6 dígitos
787153,755905,787153+755905 = ?,1543058,6 dígitos
505223,220098,505223+220098 = ?,725321,6 dígitos
746207,100268,746207+100268 = ?,846475,6 dígitos
453130,723130,453130+723130 = ?,1176260,6 dígitos
739912,846396,739912+846396 = ?,1586308,6 dígitos
782237,603439,782237+603439 = ?,1385676,6 dígitos
845652,704717,845652+704717 = ?,1550369,6 dígitos
735844,844807,735844+844807 = ?,1580651,6 dígitos
443783,922761,443783+922761 = ?,1366544,6 dígitos
959067,362857,959067+362857 = ?,1321924,6 dígitos
271150,819764,271150+819764 = ?,1090914,6 dígitos
220609,613749,220609+613749 = ?,834358,6 dígitos
148853,186024,148853+186024 = ?,334877,6 dígitos
296249,688620,296249+688620 = ?,984869,6 dígitos
786837,197681,786837+197681 = ?,984518,6 dígitos
1337664,2241376,1337664+2241376 = ?,3579040,7 dígitos
3593657,9151828,3593657+9151828 = ?,12745485,7 dígitos
2826518,6079100,2826518+6079100 = ?,8905618,7 dígitos
2124068,1391269,2124068+1391269 = ?,3515337,7 dígitos
8388851,8798413,8388851+8798413 = ?,17187264,7 dígitos
3358022,3457243,3358022+3457243 = ?,6815265,7 dígitos
3960770,7721941,3960770+7721941 = ?,11682711,7 dígitos
8724734,4755292,8724734+4755292 = ?,13480026,7 dígitos
6111187,6064258,6111187+6064258 = ?,12175445,7 dígitos
9326868,7452072,9326868+7452072 = ?,16778940,7 dígitos
2589664,7314632,2589664+7314632 = ?,9904296,7 dígitos
1837142,3328212,1837142+3328212 = ?,5165354,7 dígitos
3770335,3500972,3770335+3500972 = ?,7271307,7 dígitos
5504217,1854048,5504217+1854048 = ?,7358265,7 dígitos
5854664,9600703,5854664+9600703 = ?,15455367,7 dígitos
1144390,2320952,1144390+2320952 = ?,3465342,7 dígitos
5888516,8951497,5888516+8951497 = ?,14840013,7 dígitos
6466832,6748507,6466832+6748507 = ?,13215339,7 dígitos
2929902,3965293,2929902+3965293 = ?,6895195,7 dígitos
1359957,7252910,1359957+7252910 = ?,8612867,7 dígitos
6012639,7960803,6012639+7960803 = ?,13973442,7 dígitos
5351390,4102533,5351390+4102533 = ?,9453923,7 dígitos
5260661,8761172,5260661+8761172 = ?,14021833,7 dígitos
8381026,3029261,8381026+3029261 = ?,11410287,7 dígitos
1765974,8247101,1765974+8247101 = ?,10013075,7 dígitos
3514455,3589001,3514455+3589001 = ?,7103456,7 dígitos
5311876,1309673,5311876+1309673 = ?,6621549,7 dígitos
2093277,7825670,2093277+7825670 = ?,9918947,7 dígitos
1113863,5436185,1113863+5436185 = ?,6550048,7 dígitos
3396666,3016739,3396666+3016739 = ?,6413405,7 dígitos
7253923,1431555,7253923+1431555 = ?,8685478,7 dígitos
3669009,9124321,3669009+9124321 = ?,12793330,7 dígitos
9369190,1865764,9369190+1865764 = ?,11234954,7 dígitos
3902137,6550318,3902137+6550318 = ?,10452455,7 dígitos
3978170,8867113,3978170+8867113 = ?,12845283,7 dígitos
6658131,1442990,6658131+1442990 = ?,8101121,7 dígitos
1895640,2514629,1895640+2514629 = ?,4410269,7 dígitos
2250419,2629277,2250419+2629277 = ?,4879696,7 dígitos
8056851,4857015,8056851+4857015 = ?,12913866,7 dígitos
6437423,5841328,6437423+5841328 = ?,12278751,7 dígitos
5546306,5487843,5546306+5487843 = ?,11034149,7 dígitos
1550891,6149760,1550891+6149760 = ?,7700651,7 dígitos
1214958,6928904,1214958+6928904 = ?,8143862,7 dígitos
1649470,3008407,1649470+3008407 = ?,4657877,7 dígitos
7565337,1470148,7565337+1470148 = ?,9035485,7 dígitos
1648076,7701397,1648076+7701397 = ?,9349473,7 dígitos
3171425,8706520,3171425+8706520 = ?,11877945,7 dígitos
1753519,7189396,1753519+7189396 = ?,8942915,7 dígitos
3030338,4053319,3030338+4053319 = ?,7083657,7 dígitos
3435890,3822933,3435890+3822933 = ?,7258823,7 dígitos
10468780,78352202,10468780+78352202 = ?,88820982,8 dígitos
59866390,47865904,59866390+47865904 = ?,107732294,8 dígitos
75141071,63154547,75141071+63154547 = ?,138295618,8 dígitos
71116955,83129244,71116955+83129244 = ?,154246199,8 dígitos
51289658,98626935,51289658+98626935 = ?,149916593,8 dígitos
49986021,91313520,49986021+91313520 = ?,141299541,8 dígitos
77542861,96042844,77542861+96042844 = ?,173585705,8 dígitos
38197360,84210813,38197360+84210813 = ?,122408173,8 dígitos
34775625,76375277,34775625+76375277 = ?,111150902,8 dígitos
58121347,13438209,58121347+13438209 = ?,71559556,8 dígitos
50227181,99771071,50227181+99771071 = ?,149998252,8 dígitos
99432058,97136540,99432058+97136540 = ?,196568598,8 dígitos
41995736,53852718,41995736+53852718 = ?,95848454,8 dígitos
58704749,89616526,58704749+89616526 = ?,148321275,8 dígitos
38779360,69490503,38779360+69490503 = ?,108269863,8 dígitos
47972519,29764325,47972519+29764325 = ?,77736844,8 dígitos
98695147,86885992,98695147+86885992 = ?,185581139,8 dígitos
66079137,28891646,66079137+28891646 = ?,94970783,8 dígitos
68361477,93361126,68361477+93361126 = ?,161722603,8 dígitos
35139687,97130036,35139687+97130036 = ?,132269723,8 dígitos
36264177,96226068,36264177+96226068 = ?,132490245,8 dígitos
89153506,93601308,89153506+93601308 = ?,182754814,8 dígitos
50050146,19811808,50050146+19811808 = ?,69861954,8 dígitos
24633241,10351711,24633241+10351711 = ?,34984952,8 dígitos
93570705,60883937,93570705+60883937 = ?,154454642,8 dígitos
43127019,13997718,43127019+13997718 = ?,57124737,8 dígitos
66790063,70338614,66790063+70338614 = ?,137128677,8 dígitos
49743699,39461997,49743699+39461997 = ?,89205696,8 dígitos
17930361,84320447,17930361+84320447 = ?,102250808,8 dígitos
62764743,43492365,62764743+43492365 = ?,106257108,8 dígitos
21219414,88680941,21219414+88680941 = ?,109900355,8 dígitos
91026125,15944321,91026125+15944321 = ?,106970446,8 dígitos
84407939,95236439,84407939+95236439 = ?,179644378,8 dígitos
10062728,55521423,10062728+55521423 = ?,65584151,8 dígitos
26629599,85692191,26629599+85692191 = ?,112321790,8 dígitos
92151450,25292400,92151450+25292400 = ?,117443850,8 dígitos
69707715,79287929,69707715+79287929 = ?,148995644,8 dígitos
60751256,15685987,60751256+15685987 = ?,76437243,8 dígitos
92806167,26424517,92806167+26424517 = ?,119230684,8 dígitos
48775188,79556283,48775188+79556283 = ?,128331471,8 dígitos
98194008,48059365,98194008+48059365 = ?,146253373,8 dígitos
31909841,56766349,31909841+56766349 = ?,88676190,8 dígitos
17959959,59798642,17959959+59798642 = ?,77758601,8 dígitos
53615943,18411372,53615943+18411372 = ?,72027315,8 dígitos
50841185,22752748,50841185+22752748 = ?,73593933,8 dígitos
37807851,62802647,37807851+62802647 = ?,100610498,8 dígitos
29060792,21612001,29060792+21612001 = ?,50672793,8 dígitos
69582274,46628804,69582274+46628804 = ?,116211078,8 dígitos
15807179,31125978,15807179+31125978 = ?,46933157,8 dígitos
10606480,24471338,10606480+24471338 = ?,35077818,8 dígitos
226719067,682712359,226719067+682712359 = ?,909431426,9 dígitos
917745173,373437375,917745173+373437375 = ?,1291182548,9 dígitos
155725449,232755077,155725449+232755077 = ?,388480526,9 dígitos
834983184,324774475,834983184+324774475 = ?,1159757659,9 dígitos
585043909,206799594,585043909+206799594 = ?,791843503,9 dígitos
261763249,709228879,261763249+709228879 = ?,970992128,9 dígitos
987162776,571876640,987162776+571876640 = ?,1559039416,9 dígitos
985850872,305009920,985850872+305009920 = ?,1290860792,9 dígitos
649420159,831547792,649420159+831547792 = ?,1480967951,9 dígitos
264633002,978823865,264633002+978823865 = ?,1243456867,9 dígitos
299625874,907829045,299625874+907829045 = ?,1207454919,9 dígitos
580658801,892727890,580658801+892727890 = ?,1473386691,9 dígitos
390228819,399241216,390228819+399241216 = ?,789470035,9 dígitos
855176662,347580303,855176662+347580303 = ?,1202756965,9 dígitos
144566167,542120915,144566167+542120915 = ?,686687082,9 dígitos
129832142,735750591,129832142+735750591 = ?,865582733,9 dígitos
572898233,348658583,572898233+348658583 = ?,921556816,9 dígitos
388188345,741701988,388188345+741701988 = ?,1129890333,9 dígitos
819328191,566507944,819328191+566507944 = ?,1385836135,9 dígitos
246357408,587263455,246357408+587263455 = ?,833620863,9 dígitos
683013817,329626748,683013817+329626748 = ?,1012640565,9 dígitos
968332382,733217806,968332382+733217806 = ?,1701550188,9 dígitos
870356032,260597872,870356032+260597872 = ?,1130953904,9 dígitos
677955211,143146402,677955211+143146402 = ?,821101613,9 dígitos
559815460,215709167,559815460+215709167 = ?,775524627,9 dígitos
408361757,640183257,408361757+640183257 = ?,1048545014,9 dígitos
645484810,188984507,645484810+188984507 = ?,834469317,9 dígitos
434237471,250466305,434237471+250466305 = ?,684703776,9 dígitos
251530889,716761467,251530889+716761467 = ?,968292356,9 dígitos
237266349,295870229,237266349+295870229 = ?,533136578,9 dígitos
201990216,134921526,201990216+134921526 = ?,336911742,9 dígitos
924115192,600117946,924115192+600117946 = ?,1524233138,9 dígitos
393925149,626837428,393925149+626837428 = ?,1020762577,9 dígitos
248387672,725500948,248387672+725500948 = ?,973888620,9 dígitos
609695763,885847282,609695763+885847282 = ?,1495543045,9 dígitos
621546983,675538639,621546983+675538639 = ?,1297085622,9 dígitos
489770608,736355750,489770608+736355750 = ?,1226126358,9 dígitos
186170402,565693212,186170402+565693212 = ?,751863614,9 dígitos
466095725,540017463,466095725+540017463 = ?,1006113188,9 dígitos
676379869,986103411,676379869+986103411 = ?,1662483280,9 dígitos
654079158,950155444,654079158+950155444 = ?,1604234602,9 dígitos
337928002,343931062,337928002+343931062 = ?,681859064,9 dígitos
977702969,551945805,977702969+551945805 = ?,1529648774,9 dígitos
509187545,196018459,509187545+196018459 = ?,705206004,9 dígitos
256793452,275697647,256793452+275697647 = ?,532491099,9 dígitos
266756832,169195491,266756832+169195491 = ?,435952323,9 dígitos
283186188,801303730,283186188+801303730 = ?,1084489918,9 dígitos
865864915,894507562,865864915+894507562 = ?,1760372477,9 dígitos
476105696,756215892,476105696+756215892 = ?,1232321588,9 dígitos
623296791,518909147,623296791+518909147 = ?,1142205938,9 dígitos
3803142557,7370772707,3803142557+7370772707 = ?,11173915264,10 dígitos
5761982305,3054734634,5761982305+3054734634 = ?,8816716939,10 dígitos
8566051179,3819351147,8566051179+3819351147 = ?,12385402326,10 dígitos
7858213288,1748374235,7858213288+1748374235 = ?,9606587523,10 dígitos
4950407198,6008353961,4950407198+6008353961 = ?,10958761159,10 dígitos
9537466171,6339850565,9537466171+6339850565 = ?,15877316736,10 dígitos
4794669268,7676935831,4794669268+7676935831 = ?,12471605099,10 dígitos
3373476496,9716378989,3373476496+9716378989 = ?,13089855485,10 dígitos
7522188321,3374822510,7522188321+3374822510 = ?,10897010831,10 dígitos
7111130025,6853660939,7111130025+6853660939 = ?,13964790964,10 dígitos
1682324719,1948880441,1682324719+1948880441 = ?,3631205160,10 dígitos
2879332763,2990867737,2879332763+2990867737 = ?,5870200500,10 dígitos
2055117404,4961479804,2055117404+4961479804 = ?,7016597208,10 dígitos
9584234319,3580053791,9584234319+3580053791 = ?,13164288110,10 dígitos
3763820552,9018644422,3763820552+9018644422 = ?,12782464974,10 dígitos
2192747515,3769609853,2192747515+3769609853 = ?,5962357368,10 dígitos
4555952036,9070545289,4555952036+9070545289 = ?,13626497325,10 dígitos
4038256994,3645247219,4038256994+3645247219 = ?,7683504213,10 dígitos
8400993427,5804002491,8400993427+5804002491 = ?,14204995918,10 dígitos
1962129800,3394306922,1962129800+3394306922 = ?,5356436722,10 dígitos
4045433116,1818461987,4045433116+1818461987 = ?,5863895103,10 dígitos
9608169499,2813762261,9608169499+2813762261 = ?,12421931760,10 dígitos
4565232644,1746342576,4565232644+1746342576 = ?,6311575220,10 dígitos
7234017396,4196866098,7234017396+4196866098 = ?,11430883494,10 dígitos
7977665028,9963687105,7977665028+9963687105 = ?,17941352133,10 dígitos
4186412090,3263762817,4186412090+3263762817 = ?,7450174907,10 dígitos
7845481655,4838137103,7845481655+4838137103 = ?,12683618758,10 dígitos
6374588200,7998245062,6374588200+7998245062 = ?,14372833262,10 dígitos
1909097415,5050119018,1909097415+5050119018 = ?,6959216433,10 dígitos
8991081172,7242852129,8991081172+7242852129 = ?,16233933301,10 dígitos
3306275503,3420967287,3306275503+3420967287 = ?,6727242790,10 dígitos
8394879275,2121961957,8394879275+2121961957 = ?,10516841232,10 dígitos
2442416550,1234510608,2442416550+1234510608 = ?,3676927158,10 dígitos
2974414837,3315714761,2974414837+3315714761 = ?,6290129598,10 dígitos
4232008719,6668153589,4232008719+6668153589 = ?,10900162308,10 dígitos
3402839914,4621238099,3402839914+4621238099 = ?,8024078013,10 dígitos
9650819573,6761255741,9650819573+6761255741 = ?,16412075314,10 dígitos
8209492068,8012955899,8209492068+8012955899 = ?,16222447967,10 dígitos
2448209438,3209249007,2448209438+3209249007 = ?,5657458445,10 dígitos
4440407780,3626233967,4440407780+3626233967 = ?,8066641747,10 dígitos
8902760845,3515588375,8902760845+3515588375 = ?,12418349220,10 dígitos
9931395266,5253970214,9931395266+5253970214 = ?,15185365480,10 dígitos
3896355900,8693134024,3896355900+8693134024 = ?,12589489924,10 dígitos
5458709523,9710603499,5458709523+9710603499 = ?,15169313022,10 dígitos
7194259905,9564565893,7194259905+9564565893 = ?,16758825798,10 dígitos
1658524665,9446695507,1658524665+9446695507 = ?,11105220172,10 dígitos
3440011037,5542736031,3440011037+5542736031 = ?,8982747068,10 dígitos
7718495190,5321676522,7718495190+5321676522 = ?,13040171712,10 dígitos
1505096795,5655828949,1505096795+5655828949 = ?,7160925744,10 dígitos
6815136437,2921230552,6815136437+2921230552 = ?,9736366989,10 dígitos
